domain,fault_type,controller,seed,tsvr,intervention_rate,oasg
vehicle,stuck_sensor,dc3s,3001,0.0,0.0,0.859671
vehicle,stuck_sensor,dc3s,3002,0.0,0.0,0.6275
vehicle,stuck_sensor,dc3s,3003,0.0,0.0,0.60882
vehicle,stuck_sensor,dc3s,3004,0.0,0.0,0.401042
battery,blackout,nominal,3000,0.875,0.8125,1.0
battery,blackout,nominal,3001,0.875,0.645833,1.0
battery,blackout,nominal,3002,0.875,0.770833,1.0
battery,blackout,nominal,3003,0.875,0.5625,1.0
battery,blackout,nominal,3004,0.875,0.729167,1.0
battery,blackout,dc3s,3000,0.9375,0.8125,1.0
battery,blackout,dc3s,3001,0.9375,0.645833,1.0
battery,blackout,dc3s,3002,0.9375,0.770833,1.0
battery,blackout,dc3s,3003,0.9375,0.5625,1.0
battery,blackout,dc3s,3004,0.9375,0.729167,1.0
navigation,blackout,nominal,3000,0.0,0.8125,1.0
navigation,blackout,nominal,3001,0.0,0.645833,1.0
navigation,blackout,nominal,3002,0.0,0.770833,1.0
navigation,blackout,nominal,3003,0.0,0.5625,1.0
navigation,blackout,nominal,3004,0.0,0.729167,1.0
navigation,blackout,dc3s,3000,0.0,0.8125,0.0
navigation,blackout,dc3s,3001,0.0,0.645833,0.0
navigation,blackout,dc3s,3002,0.0,0.770833,0.0
navigation,blackout,dc3s,3003,0.0,0.5625,1.0
navigation,blackout,dc3s,3004,0.0,0.729167,0.0
industrial,blackout,nominal,3000,0.0,0.8125,1.0
industrial,blackout,nominal,3001,0.0,0.645833,1.0
industrial,blackout,nominal,3002,0.0,0.770833,1.0
industrial,blackout,nominal,3003,0.0,0.5625,1.0
industrial,blackout,nominal,3004,0.0,0.729167,1.0
industrial,blackout,dc3s,3000,0.0,0.8125,1.0
industrial,blackout,dc3s,3001,0.0,0.645833,1.0
industrial,blackout,dc3s,3002,0.0,0.770833,1.0
industrial,blackout,dc3s,3003,0.0,0.5625,1.0
industrial,blackout,dc3s,3004,0.0,0.729167,1.0
healthcare,blackout,nominal,3000,1.0,0.8125,1.0
healthcare,blackout,nominal,3001,1.0,0.645833,1.0
healthcare,blackout,nominal,3002,1.0,0.770833,1.0
healthcare,blackout,nominal,3003,1.0,0.5625,1.0
healthcare,blackout,nominal,3004,1.0,0.729167,1.0
healthcare,blackout,dc3s,3000,0.270833,0.8125,1.0
healthcare,blackout,dc3s,3001,0.270833,0.645833,1.0
healthcare,blackout,dc3s,3002,0.270833,0.770833,1.0
healthcare,blackout,dc3s,3003,0.270833,0.5625,1.0
healthcare,blackout,dc3s,3004,0.270833,0.729167,1.0
aerospace,blackout,nominal,3000,0.0,0.8125,1.0
aerospace,blackout,nominal,3001,0.0,0.645833,1.0
aerospace,blackout,nominal,3002,0.0,0.770833,1.0
aerospace,blackout,nominal,3003,0.0,0.5625,1.0
