t,effective_alpha,miss_streak,mode
359,0.05,0,aci_clipped
360,0.05,0,aci_clipped
361,0.05,0,aci_clipped
362,0.05,0,aci_clipped
363,0.05,0,aci_clipped
364,0.05,0,aci_clipped
365,0.05,0,aci_clipped
366,0.05,0,aci_clipped
367,0.05,0,aci_clipped
368,0.05,0,aci_clipped
369,0.05,0,aci_clipped
370,0.05,0,aci_clipped
371,0.05,0,aci_clipped
372,0.05,0,aci_clipped
373,0.05,0,aci_clipped
374,0.05,0,aci_clipped
375,0.05,0,aci_clipped
376,0.05,0,aci_clipped
377,0.05,0,aci_clipped
378,0.05,0,aci_clipped
379,0.05,0,aci_clipped
380,0.05,0,aci_clipped
381,0.05,0,aci_clipped
382,0.05,0,aci_clipped
383,0.05,0,aci_clipped
384,0.05,0,aci_clipped
385,0.05,0,aci_clipped
386,0.05,0,aci_clipped
387,0.05,0,aci_clipped
388,0.05,0,aci_clipped
389,0.05,0,aci_clipped
390,0.05,0,aci_clipped
391,0.05,0,aci_clipped
392,0.05,0,aci_clipped
393,0.05,0,aci_clipped
394,0.05,0,aci_clipped
395,0.05,0,aci_clipped
396,0.05,0,aci_clipped
397,0.05,0,aci_clipped
398,0.05,0,aci_clipped
399,0.05,0,aci_clipped
400,0.05,0,aci_clipped
401,0.05,0,aci_clipped
402,0.05,0,aci_clipped
403,0.05,0,aci_clipped
404,0.05,0,aci_clipped
405,0.05,0,aci_clipped
406,0.05,0,aci_clipped
407,0.05,0,aci_clipped
408,0.05,0,aci_clipped
409,0.05,0,aci_clipped
410,0.05,0,aci_clipped
411,0.05,0,aci_clipped
412,0.05,0,aci_clipped
413,0.05,0,aci_clipped
414,0.05,0,aci_clipped
415,0.05,0,aci_clipped
416,0.05,0,aci_clipped
417,0.05,0,aci_clipped
418,0.05,0,aci_clipped
419,0.05,0,aci_clipped
420,0.05,0,aci_clipped
421,0.05,0,aci_clipped
422,0.05,0,aci_clipped
423,0.05,0,aci_clipped
424,0.05,0,aci_clipped
425,0.05,0,aci_clipped
426,0.05,0,aci_clipped
427,0.05,0,aci_clipped
428,0.05,0,aci_clipped
429,0.05,0,aci_clipped
430,0.05,0,aci_clipped
431,0.05,0,aci_clipped
432,0.05,0,aci_clipped
433,0.05,0,aci_clipped
434,0.05,0,aci_clipped
435,0.05,0,aci_clipped
436,0.05,0,aci_clipped
437,0.05,0,aci_clipped
438,0.05,0,aci_clipped
439,0.05,0,aci_clipped
440,0.05,0,aci_clipped
441,0.05,0,aci_clipped
442,0.05,0,aci_clipped
443,0.05,0,aci_clipped
444,0.05,0,aci_clipped
445,0.05,0,aci_clipped
446,0.05,0,aci_clipped
447,0.05,0,aci_clipped
448,0.05,0,aci_clipped
449,0.05,0,aci_clipped
450,0.05,0,aci_clipped
451,0.05,0,aci_clipped
452,0.05,0,aci_clipped
453,0.05,0,aci_clipped
454,0.05,0,aci_clipped
455,0.05,0,aci_clipped
456,0.05,0,aci_clipped
457,0.05,0,aci_clipped
458,0.05,0,aci_clipped
459,0.05,0,aci_clipped
460,0.05,0,aci_clipped
461,0.05,0,aci_clipped
462,0.05,0,aci_clipped
463,0.05,0,aci_clipped
464,0.05,0,aci_clipped
465,0.05,0,aci_clipped
466,0.05,0,aci_clipped
467,0.05,0,aci_clipped
468,0.05,0,aci_clipped
469,0.05,0,aci_clipped
470,0.05,0,aci_clipped
471,0.05,0,aci_clipped
472,0.05,0,aci_clipped
473,0.05,0,aci_clipped
474,0.05,0,aci_clipped
475,0.05,0,aci_clipped
476,0.05,0,aci_clipped
477,0.05,0,aci_clipped
478,0.05,0,aci_clipped
479,0.05,0,aci_clipped
480,0.05,0,aci_clipped
481,0.05,0,aci_clipped
482,0.05,0,aci_clipped
483,0.05,0,aci_clipped
484,0.05,0,aci_clipped
