transfer_case,sweep_type,sweep_value,scenario,seed,controller,picp_90,mean_width,true_soc_violation_rate,true_soc_violation_severity_p95_mwh,cost_delta_pct
DE_to_US_no_retrain,dropout,0.2,dropout,33,dc3s_wrapped,0.822917,524.256194,0.000000,0.000000,-0.019524
DE_to_US_no_retrain,dropout,0.2,dropout,33,dc3s_ftit,0.927083,2117.964096,0.000000,0.000000,0.021721
DE_to_US_no_retrain,dropout,0.2,dropout,33,aci_conformal,0.895833,1772.748471,0.000000,0.000000,0.016839
DE_to_US_no_retrain,dropout,0.2,dropout,33,scenario_robust,0.947917,3294.832491,0.000000,0.000000,-0.019524
DE_to_US_no_retrain,dropout,0.2,dropout,33,scenario_mpc,0.989583,9433.807210,0.000000,0.000000,-0.019524
DE_to_US_no_retrain,dropout,0.3,dropout,11,deterministic_lp,0.718750,502.889113,0.041667,268.230712,0.000000
DE_to_US_no_retrain,dropout,0.3,dropout,11,robust_fixed_interval,0.718750,502.889113,0.218750,0.283895,-0.002205
DE_to_US_no_retrain,dropout,0.3,dropout,11,cvar_interval,0.718750,502.889113,0.218750,0.283895,-0.002205
DE_to_US_no_retrain,dropout,0.3,dropout,11,dc3s_wrapped,0.718750,525.572340,0.000000,0.000000,0.092677
DE_to_US_no_retrain,dropout,0.3,dropout,11,dc3s_ftit,0.812500,3535.712427,0.000000,0.000000,0.134424
DE_to_US_no_retrain,dropout,0.3,dropout,11,aci_conformal,0.895833,4782.597430,0.000000,0.000000,0.023382
DE_to_US_no_retrain,dropout,0.3,dropout,11,scenario_robust,0.906250,6220.599502,0.000000,0.000000,-0.002200
DE_to_US_no_retrain,dropout,0.3,dropout,11,scenario_mpc,0.968750,9427.722101,0.000000,0.000000,-0.002200
DE_to_US_no_retrain,dropout,0.3,dropout,22,deterministic_lp,0.708333,502.889113,0.031250,301.353500,0.000000
DE_to_US_no_retrain,dropout,0.3,dropout,22,robust_fixed_interval,0.708333,502.889113,0.010417,0.391739,-0.014599
DE_to_US_no_retrain,dropout,0.3,dropout,22,cvar_interval,0.708333,502.889113,0.010417,0.391739,-0.014599
DE_to_US_no_retrain,dropout,0.3,dropout,22,dc3s_wrapped,0.708333,524.038513,0.000000,0.000000,-0.014589
DE_to_US_no_retrain,dropout,0.3,dropout,22,dc3s_ftit,0.833333,2590.482070,0.000000,0.000000,0.109397
DE_to_US_no_retrain,dropout,0.3,dropout,22,aci_conformal,0.895833,3698.050621,0.000000,0.000000,0.024460
DE_to_US_no_retrain,dropout,0.3,dropout,22,scenario_robust,0.906250,3945.297154,0.000000,0.000000,-0.014591
DE_to_US_no_retrain,dropout,0.3,dropout,22,scenario_mpc,1.000000,9418.272655,0.000000,0.000000,-0.014591
DE_to_US_no_retrain,dropout,0.3,dropout,33,deterministic_lp,0.718750,502.889113,0.083333,193.561705,0.000000
DE_to_US_no_retrain,dropout,0.3,dropout,33,robust_fixed_interval,0.718750,502.889113,0.260417,0.519386,-0.016507
DE_to_US_no_retrain,dropout,0.3,dropout,33,cvar_interval,0.718750,502.889113,0.260417,0.519386,-0.016507
DE_to_US_no_retrain,dropout,0.3,dropout,33,dc3s_wrapped,0.718750,524.437633,0.000000,0.000000,-0.016493
DE_to_US_no_retrain,dropout,0.3,dropout,33,dc3s_ftit,0.833333,3629.415465,0.000000,0.000000,0.048873
DE_to_US_no_retrain,dropout,0.3,dropout,33,aci_conformal,0.895833,4825.170096,0.000000,0.000000,0.019867
DE_to_US_no_retrain,dropout,0.3,dropout,33,scenario_robust,0.937500,5854.455048,0.000000,0.000000,-0.016497
DE_to_US_no_retrain,dropout,0.3,dropout,33,scenario_mpc,0.979167,9417.661262,0.000000,0.000000,-0.016497
DE_to_US_no_retrain,stale,0.0,nominal,11,deterministic_lp,1.000000,502.889113,0.083333,209.402499,0.000000
DE_to_US_no_retrain,stale,0.0,nominal,11,robust_fixed_interval,1.000000,502.889113,0.010417,0.037160,-0.002200
DE_to_US_no_retrain,stale,0.0,nominal,11,cvar_interval,1.000000,502.889113,0.010417,0.037160,-0.002200
DE_to_US_no_retrain,stale,0.0,nominal,11,dc3s_wrapped,1.000000,525.366768,0.000000,0.000000,-0.002198
DE_to_US_no_retrain,stale,0.0,nominal,11,dc3s_ftit,1.000000,305.906932,0.000000,0.000000,-0.002198
DE_to_US_no_retrain,stale,0.0,nominal,11,aci_conformal,1.000000,99.905000,0.000000,0.000000,0.023382
DE_to_US_no_retrain,stale,0.0,nominal,11,scenario_robust,1.000000,0.000000,0.000000,0.000000,-0.002199
DE_to_US_no_retrain,stale,0.0,nominal,11,scenario_mpc,1.000000,9427.404864,0.000000,0.000000,-0.002199
DE_to_US_no_retrain,stale,0.0,nominal,22,deterministic_lp,1.000000,502.889113,0.031250,301.396626,0.000000
DE_to_US_no_retrain,stale,0.0,nominal,22,robust_fixed_interval,1.000000,502.889113,0.000000,0.000000,-0.013113
DE_to_US_no_retrain,stale,0.0,nominal,22,cvar_interval,1.000000,502.889113,0.000000,0.000000,-0.013113
DE_to_US_no_retrain,stale,0.0,nominal,22,dc3s_wrapped,1.000000,524.703025,0.000000,0.000000,-0.013113
DE_to_US_no_retrain,stale,0.0,nominal,22,dc3s_ftit,1.000000,305.906932,0.000000,0.000000,-0.013113
DE_to_US_no_retrain,stale,0.0,nominal,22,aci_conformal,1.000000,99.905000,0.000000,0.000000,0.025936
DE_to_US_no_retrain,stale,0.0,nominal,22,scenario_robust,1.000000,0.000000,0.000000,0.000000,-0.013116
DE_to_US_no_retrain,stale,0.0,nominal,22,scenario_mpc,1.000000,9434.062240,0.000000,0.000000,-0.013116
DE_to_US_no_retrain,stale,0.0,nominal,33,deterministic_lp,1.000000,502.889113,0.062500,220.721556,0.000000
