run_id,timestamp_utc,row_type,window_idx,window_start,window_end,horizon,evpi,evpi_robust,evpi_deterministic,vss,robust_actual_realized_cost,robust_perfect_info_cost,deterministic_actual_realized_cost,deterministic_perfect_info_cost,robust_total_cost,robust_feasible,solver_status,mean_dynamic_interval_width,mean_base_interval_width,unmet_load_penalty_per_mwh
20260216_202050,2026-02-16T20:21:02.291274,window,5,144,168,24.0,0.0,0.0,0.0,-27000.0,49372540.0,49372540.0,49345540.0,49345540.0,62723677.10221404,True,ok:optimal,1697.0445606867295,415.6027495559347,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,6,168,192,24.0,0.0,0.0,0.0,-29700.0,60211165.0,60211165.0,60181465.0,60181465.0,54975987.02410667,True,ok:optimal,2665.0526315274287,415.6027495559359,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,7,192,216,24.0,0.0,0.0,0.0,-29700.0,61345625.0,61345625.0,61315925.0,61315925.0,60765908.691804126,True,ok:optimal,969.7397489638312,415.6027495559283,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,8,216,240,24.0,0.0,0.0,0.0,-29700.0,57819770.0,57819770.0,57790070.0,57790070.0,62459845.25650391,True,ok:optimal,1818.2620293071789,415.60274955592894,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,9,240,264,24.0,0.0,0.0,0.0,-29700.0,58933870.0,58933870.0,58904170.0,58904170.0,59056731.23825443,True,ok:optimal,2164.5976539371195,415.6027495559295,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,10,264,288,24.0,0.0,0.0,0.0,-29700.0,55252575.0,55252575.0,55222875.0,55222875.0,58639152.68581023,True,ok:optimal,1748.9949043811864,415.6027495559283,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,11,288,312,24.0,0.0,0.0,0.0,-27000.0,60587510.0,60587510.0,60560510.0,60560510.0,52716106.86953064,True,ok:optimal,2535.1767722911554,415.6027495559295,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,12,312,336,24.0,0.0,0.0,0.0,-27000.0,50815365.0,50815365.0,50788365.0,50788365.0,62993789.74650281,True,ok:optimal,1368.0257172882675,415.60274955593104,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,13,336,360,24.0,0.0,0.0,0.0,-29700.0,70812630.0,70812630.0,70782930.0,70782930.0,56269605.789664805,True,ok:optimal,2665.0526315273864,415.60274955593013,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,14,360,384,24.0,0.0,0.0,0.0,-29700.0,64098575.0,64098575.0,64068875.0,64068875.0,72147825.054055,True,ok:optimal,2181.9144351686014,415.6027495559247,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,15,384,408,24.0,0.0,0.0,0.0,-29700.0,61218745.0,61218745.0,61189045.0,61189045.0,65847296.18226634,True,ok:optimal,2656.3942409116194,415.6027495559247,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,16,408,432,24.0,0.0,0.0,0.0,-29700.0,65722775.0,65722775.0,65693075.0,65693075.0,62231589.133973315,True,ok:optimal,1454.6096234457336,415.6027495559253,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,17,432,456,24.0,0.0,0.0,0.0,-29700.0,57802155.0,57802155.0,57772455.0,57772455.0,65358876.20107653,True,ok:optimal,2112.647310242624,415.602749555928,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,18,456,480,24.0,0.0,0.0,0.0,-27000.0,43950740.0,43950740.0,43923740.0,43923740.0,54849080.763375744,True,ok:optimal,2656.394240911639,415.6027495559295,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,19,480,504,24.0,0.0,0.0,0.0,-27000.0,57403765.0,57403765.0,57376765.0,57376765.0,46471811.31469395,True,ok:optimal,1645.0942169922407,415.60274955593496,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,20,504,528,24.0,0.0,0.0,0.0,-29700.0,63289695.0,63289695.0,63259995.0,63259995.0,63254743.98188019,True,ok:optimal,2665.052631527415,415.6027495559344,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,21,528,552,24.0,0.0,0.0,0.0,-29700.0,76864935.0,76864935.0,76835235.0,76835235.0,64252364.315616846,True,ok:optimal,1471.9264046772394,415.6027495559283,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,22,552,576,24.0,0.0,0.0,0.0,-29700.0,79300755.0,79300755.0,79271055.0,79271055.0,77132450.50030218,True,ok:optimal,588.7705618708902,415.6027495559283,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,23,576,600,24.0,0.0,0.0,0.0,-29700.0,79647845.0,79647845.0,79618145.0,79618145.0,79760382.30277154,True,ok:optimal,727.3048117228742,415.6027495559277,10000.0
20260216_202050,2026-02-16T20:21:02.291274,window,24,600,624,24.0,0.0,0.0,0.0,-29700.0,74280210.0,74280210.0,74250510.0,74250510.0,78375321.16464901,True,ok:optimal,1506.5599671402294,415.6027495559277,10000.0
