t,validity_score,validity_status,normalized_residual,subgroup_gap,drift_score,adaptation_instability,reliability_interaction,shift_alert_flag
8041,0.8571241260463818,nominal,0.029674313300469653,0.0,0.09707186597209601,0.05,0.7236194828938769,False
8042,0.8294680162657494,nominal,0.056591014642764184,0.0,0.0971227126026723,0.05,0.8630645836868336,False
8043,0.8289233632017209,nominal,0.06290402237782315,0.0,0.09711885638862366,0.05,0.8561790661739902,False
8044,0.8063151674724558,nominal,0.09705639534771036,0.0,0.0971036684530831,0.05,0.95,False
8045,0.8004028157470412,nominal,0.1405042027294513,0.0,0.0970881458055304,0.05,0.9170233627299327,False
8046,0.7992608724631994,nominal,0.14408543654418854,0.0,0.09716181165277249,0.05,0.9185693738013262,False
8047,0.8052067396562784,nominal,0.14385059187914515,0.0,0.09722554421991138,0.05,0.8792366901996864,False
8048,0.8294945857230654,nominal,0.05392075937822571,0.0,0.09728451766262923,0.05,0.8671221393323482,False
8049,0.828714813538951,nominal,0.07912139634044797,0.0,0.09733224410690518,0.05,0.8302559236970394,False
8050,0.8086373688119446,nominal,0.08750126697008062,0.0,0.09743657222767582,0.05,0.95,False
8051,0.8367588308664363,nominal,0.037232944205008445,0.0,0.09749254131043457,0.05,0.8462294988014972,False
8052,0.8327591983128525,nominal,0.055739807873704424,0.0,0.09756665413365422,0.05,0.8419501259466036,False
8053,0.8408390505059845,nominal,0.017424317253481963,0.0,0.09764638353166517,0.05,0.8518372898287467,False
8054,0.8523750504105841,nominal,0.020261412702410195,0.0,0.09779167593572403,0.05,0.7700084081777896,False
8055,0.8372564438726205,nominal,0.0033681182019160987,0.0,0.09778065663772258,0.05,0.8989693016623728,False
8056,0.8627012496452392,nominal,0.0002942163696059883,0.0,0.09779327401089938,0.05,0.7344436097345295,False
8057,0.8399556301547594,nominal,0.027647331266781486,0.0,0.09782798527633724,0.05,0.8404462664885184,False
8058,0.8263469370746422,nominal,0.03260041296123352,0.0,0.09792181506398982,0.05,0.9227906444816764,False
8059,0.8754707812762841,nominal,0.011774947482207062,0.0,0.09804758651846818,0.05,0.6298397636631368,False
8060,0.8287908855686124,nominal,0.0062472809828438705,0.0,0.09823647092838346,0.05,0.95,False
8061,0.8526115304575871,nominal,0.002125112676876898,0.0,0.0984405439395075,0.05,0.7977938839019476,False
8062,0.8306565522854251,nominal,0.006521557434950004,0.0,0.09867029095995032,0.05,0.9365266677589815,False
8063,0.8492995251332704,nominal,0.001508792925703134,0.0,0.09893612230130384,0.05,0.82024034783362,False
8064,0.816796655165472,nominal,0.05342513980617901,0.0,0.09923529941491689,0.05,0.95,False
8065,0.8424881124530186,nominal,0.05540750348203369,0.0,0.09957342085316599,0.05,0.7749688500389323,False
8066,0.8297178246131987,nominal,0.04872465191172982,0.0,0.10007970834917927,0.05,0.8705671382602204,False
8067,0.8213341316333457,nominal,0.07133053424937932,0.0,0.10055445206516755,0.05,0.8881489626085064,False
8068,0.8445418274266265,nominal,0.07802904470606987,0.0,0.10108409741534961,0.05,0.721560612758574,False
8069,0.8453736192921695,nominal,0.011580262306440263,0.0,0.10153381192752792,0.05,0.8261636849714327,False
8070,0.8288619932827854,nominal,0.0029297054317438307,0.0,0.10202790179639253,0.05,0.95,False
8071,0.8336913096404683,nominal,0.0019794771871006764,0.0,0.10250951163562272,0.05,0.9187461249042124,False
8072,0.8213460316122945,nominal,0.032251489043830794,0.0,0.10295548063373944,0.05,0.95,False
8073,0.8204044864369054,nominal,0.057641583147363125,0.0,0.10345955126061462,0.05,0.9132880501608718,False
8074,0.8317547904061405,nominal,0.022751844733377023,0.0,0.10389691486868087,0.05,0.8951857695785266,False
8075,0.8301521876703141,nominal,0.022393176715561448,0.0,0.10434167639789622,0.05,0.9058745524747754,False
8076,0.8303059309388848,nominal,0.04134073349240186,0.0,0.10473740263115272,0.05,0.872742701078561,False
8077,0.9001330526147571,nominal,0.14446778954097156,0.0,0.0,0.05,0.375,False
8078,0.9124840778235416,nominal,0.09506368870583344,0.0,0.0,0.05,0.375,False
8079,0.8687153704923638,nominal,0.120138518030545,0.0,0.0,0.05,0.625,False
8080,0.8435991567203865,nominal,0.0974641727182155,0.0,0.0,0.05,0.8302320006670634,False
8081,0.8905843692584959,nominal,0.18266252296601607,0.0,0.0,0.05,0.375,False
8082,0.8920649277736218,nominal,0.17674028890551305,0.0,0.0,0.05,0.375,False
8083,0.9070106613725158,nominal,0.11695735450993647,0.0,0.0,0.05,0.375,False
8084,0.9357349806374983,nominal,0.002060077450006903,0.0,0.0,0.05,0.375,False
8085,0.9357965922983943,nominal,0.001813630806422411,0.0,0.0,0.05,0.375,False
8086,0.9166245266446055,nominal,0.071683703503396,0.0,0.0,0.05,0.38636364986363614,False
8087,0.9113320732940025,nominal,0.08603534318762635,0.0,0.0,0.05,0.3977272727272727,False
8088,0.8838120998320246,nominal,0.1892970417446293,0.0,0.0,0.05,0.40909093154545406,False
8089,0.8910610429388165,nominal,0.1534830724583714,0.0,0.0,0.05,0.4204545929772707,False
8090,0.9200741184020341,nominal,0.030612583210046833,0.0,0.0,0.05,0.4318182386363607,False
8091,0.8781376700672415,nominal,0.05790384153194407,0.0,0.0,0.05,0.6659091303318159,False
8092,0.9138001169340927,nominal,0.042072167245460305,0.0,0.0,0.05,0.4545456083636147,False
8093,0.8850169629168606,nominal,0.022204814462567165,0.0,0.0,0.05,0.6795455564499839,False
8094,0.8856199243600341,nominal,0.015702041705334995,0.0,0.0,0.05,0.6863637680908815,False
8095,0.8883687364611298,nominal,0.0006158601555096092,0.0,0.0,0.05,0.6931819899999518,False
8096,0.889305302969799,nominal,0.11277858952086907,0.0,0.0,0.05,0.5000003309998904,False
