scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields
drift_combo,7,deterministic_lp,deterministic_lp,233410962.729446,1616243573.078432,0.000000,1.000000,0.000000,951.513298,1.000000,1.000000,951.513298,948.870247,0.000000,,,0.718750,981.358051,0.312500,991.141453,0.187500,957.201721,2919.853450,4723.183695,0.406250,0.406250,951.513298,0.072917,353.065178,0.136986,0.000000,0.072917,7.000000,50.437883,237.864178,50.437883,237.864178,-331.092280,10191.693547,2.428571,0.072917,0.000000,0.000000,0.000000,384.000000
drift_combo,7,robust_fixed_interval,robust_fixed_interval,233397653.306775,1616182968.072508,-0.005702,1.000000,0.000000,12019.005340,0.645833,1.000000,12019.005340,13907.244539,0.000000,,,0.718750,981.358051,0.312500,991.141453,0.187500,957.201721,2919.853450,4723.183695,0.791667,0.864583,12019.005340,0.531250,6.770488,0.000000,0.000000,0.531250,51.000000,0.132755,0.170128,0.132755,0.170128,-0.170128,10000.000000,26.000000,0.531250,0.000000,0.000000,0.000000,384.000000
drift_combo,8,cvar_interval,cvar_interval,232452465.075740,1615324599.570143,-0.015468,1.000000,0.000000,951.513298,0.968750,1.000000,951.513298,948.870247,0.000000,121788906.563622,121819014.374334,0.812500,948.870247,0.437500,948.870247,0.156250,948.870247,2575.280793,3908.289329,0.468750,0.468750,951.513298,0.052083,21739.217088,0.000000,0.000000,0.052083,5.000000,4347.843418,5434.789499,4347.843418,5434.789499,-5434.789499,10000.000000,3.000000,0.052083,0.000000,0.000000,0.000000,384.000000
drift_combo,8,dc3s_wrapped,dc3s_wrapped,233089846.338080,1619488956.669792,0.258688,0.865451,0.000000,2255.703887,1.000000,0.958333,2255.703887,10072.571635,4422.400000,,,0.812500,948.870247,0.437500,948.870247,0.156250,948.870247,2575.280793,3908.289329,0.520833,0.541667,2255.703887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5434.671318,10000.000000,0.000000,0.041667,0.041667,0.000000,1.000000,0.000000
drift_combo,8,deterministic_lp,deterministic_lp,232488427.456409,1615644731.888179,0.000000,1.000000,0.000000,951.513298,1.000000,1.000000,951.513298,948.870247,0.000000,,,0.812500,948.870247,0.437500,948.870247,0.156250,948.870247,2575.280793,3908.289329,0.468750,0.468750,951.513298,0.052083,21973.432551,0.000000,0.000000,0.052083,5.000000,4394.686510,5415.239797,4394.686510,5415.239797,-5415.239797,10000.000000,3.000000,0.052083,0.000000,0.000000,0.000000,384.000000
drift_combo,8,robust_fixed_interval,robust_fixed_interval,232452465.075740,1615324599.570143,-0.015468,1.000000,0.000000,11954.851686,0.968750,1.000000,11954.851686,13991.723056,0.000000,,,0.812500,948.870247,0.437500,948.870247,0.156250,948.870247,2575.280793,3908.289329,0.812500,0.895833,11954.851686,0.052083,21739.217088,0.000000,0.000000,0.052083,5.000000,4347.843418,5434.789499,4347.843418,5434.789499,-5434.789499,10000.000000,3.000000,0.052083,0.000000,0.000000,0.000000,384.000000
drift_combo,9,cvar_interval,cvar_interval,233037206.647327,1613386691.388003,-0.031808,1.000000,0.000000,951.513298,0.458333,1.000000,951.513298,948.870247,0.000000,179957742.860060,179988596.059401,0.750000,960.870497,0.406250,967.979046,0.125000,956.743717,3195.490546,5316.774292,0.427083,0.427083,951.513298,0.562500,20.642814,0.000000,0.000000,0.562500,54.000000,0.382274,0.382274,0.382274,0.382274,-0.382274,10000.000000,27.500000,0.562500,0.000000,0.000000,0.000000,384.000000
drift_combo,9,dc3s_wrapped,dc3s_wrapped,233041339.565560,1613361641.433199,-0.030035,0.824737,0.000000,2648.588560,0.968750,0.958333,2648.588560,10072.571635,4422.400000,,,0.750000,960.870497,0.406250,967.979046,0.125000,956.743717,3195.490546,5316.774292,0.531250,0.541667,2648.588560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.444893,10000.000000,0.000000,0.041667,0.041667,0.000000,1.000000,0.000000
drift_combo,9,deterministic_lp,deterministic_lp,233111353.942304,1613988741.057994,0.000000,1.000000,0.000000,951.513298,1.000000,1.000000,951.513298,948.870247,0.000000,,,0.750000,960.870497,0.406250,967.979046,0.125000,956.743717,3195.490546,5316.774292,0.427083,0.427083,951.513298,0.083333,447.010352,0.300000,0.000000,0.083333,8.000000,55.876294,227.057502,55.876294,227.057502,-267.658368,14980.926791,2.625000,0.083333,0.000000,0.000000,0.000000,384.000000
drift_combo,9,robust_fixed_interval,robust_fixed_interval,233037206.647327,1613386691.388003,-0.031808,1.000000,0.000000,12088.525335,0.458333,1.000000,12088.525335,13856.579406,0.000000,,,0.750000,960.870497,0.406250,967.979046,0.125000,956.743717,3195.490546,5316.774292,0.760417,0.854167,12088.525335,0.562500,20.642814,0.000000,0.000000,0.562500,54.000000,0.382274,0.382274,0.382274,0.382274,-0.382274,10000.000000,27.500000,0.562500,0.000000,0.000000,0.000000,384.000000
dropout,0,cvar_interval,cvar_interval,219437851.561488,1524481741.490571,-0.006097,1.000000,0.000000,951.513298,0.958333,1.000000,951.513298,948.870247,0.000000,113788210.381871,113811355.254455,0.968750,948.870247,0.906250,948.870247,0.906250,948.870247,79.160304,323.826614,0.927083,0.927083,951.513298,0.052083,1.065936,0.000000,0.000000,0.052083,5.000000,0.213187,0.213187,0.213187,0.213187,-0.213187,10000.000000,3.000000,0.052083,0.000000,0.000000,0.000000,384.000000
dropout,0,dc3s_wrapped,dc3s_wrapped,219449210.590641,1524511980.900661,-0.000921,0.997594,0.000000,986.483274,1.000000,0.989583,986.483274,1196.363230,4422.400000,,,0.968750,948.870247,0.906250,948.870247,0.906250,948.870247,79.160304,323.826614,0.927083,0.927083,986.483274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046443,10000.000000,0.000000,0.010417,0.010417,0.000000,1.000000,0.000000
dropout,0,deterministic_lp,deterministic_lp,219451232.172730,1524530404.327118,0.000000,1.000000,0.000000,951.513298,1.000000,1.000000,951.513298,948.870247,0.000000,,,0.968750,948.870247,0.906250,948.870247,0.906250,948.870247,79.160304,323.826614,0.927083,0.927083,951.513298,0.041667,352.100325,0.142857,0.000000,0.041667,4.000000,88.025081,284.231645,88.025081,284.231645,-330.849969,10000.000000,2.500000,0.041667,0.000000,0.000000,0.000000,384.000000
dropout,0,robust_fixed_interval,robust_fixed_interval,219437851.561488,1524481741.490571,-0.006097,1.000000,0.000000,11877.911926,0.958333,1.000000,11877.911926,13658.705051,0.000000,,,0.968750,948.870247,0.906250,948.870247,0.906250,948.870247,79.160304,323.826614,1.000000,1.000000,11877.911926,0.052083,1.065936,0.000000,0.000000,0.052083,5.000000,0.213187,0.213187,0.213187,0.213187,-0.213187,10000.000000,3.000000,0.052083,0.000000,0.000000,0.000000,384.000000
dropout,1,cvar_interval,cvar_interval,219212120.637317,1523003122.346455,-0.030673,1.000000,0.000000,951.513298,0.989583,1.000000,951.513298,948.870247,0.000000,110129581.830671,110154820.227402,0.937500,948.870247,0.968750,948.870247,0.906250,948.870247,87.847723,372.703026,0.937500,0.937500,951.513298,0.031250,1.214591,0.000000,0.000000,0.031250,3.000000,0.404864,0.719489,0.404864,0.719489,-0.775011,10000.000000,2.000000,0.031250,0.000000,0.000000,0.000000,384.000000
dropout,1,dc3s_wrapped,dc3s_wrapped,219531258.257040,1525071102.598582,0.114866,0.998889,0.000000,968.114016,1.000000,0.979167,968.114016,986.699165,4422.400000,,,0.937500,948.870247,0.968750,948.870247,0.906250,948.870247,87.847723,372.703026,0.937500,0.937500,968.114016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5434.562819,10000.000000,0.000000,0.020833,0.020833,0.000000,1.000000,0.000000
dropout,1,deterministic_lp,deterministic_lp,219279380.673099,1523545185.558155,0.000000,1.000000,0.000000,951.513298,1.000000,1.000000,951.513298,948.870247,0.000000,,,0.937500,948.870247,0.968750,948.870247,0.906250,948.870247,87.847723,372.703026,0.937500,0.937500,951.513298,0.031250,296.486146,0.000000,0.000000,0.031250,3.000000,98.828715,251.761428,98.828715,251.761428,-277.861031,10000.000000,2.000000,0.031250,0.000000,0.000000,0.000000,384.000000
dropout,1,robust_fixed_interval,robust_fixed_interval,219212120.637317,1523003122.346455,-0.030673,1.000000,0.000000,11840.200648,0.989583,1.000000,11840.200648,13765.644200,0.000000,,,0.937500,948.870247,0.968750,948.870247,0.906250,948.870247,87.847723,372.703026,1.000000,1.000000,11840.200648,0.031250,1.214591,0.000000,0.000000,0.031250,3.000000,0.404864,0.719489,0.404864,0.719489,-0.775011,10000.000000,2.000000,0.031250,0.000000,0.000000,0.000000,384.000000
dropout,2,cvar_interval,cvar_interval,219318115.651760,1520556568.043959,-0.013838,1.000000,0.000000,951.513298,0.770833,1.000000,951.513298,948.870247,0.000000,133414872.423955,133445011.003781,0.968750,948.870247,0.968750,948.870247,0.968750,948.870247,53.981550,288.692719,0.968750,0.968750,951.513298,0.312500,5.397523,0.000000,0.000000,0.312500,30.000000,0.179917,0.185243,0.179917,0.185243,-0.185243,10000.000000,15.500000,0.312500,0.000000,0.000000,0.000000,384.000000
dropout,2,dc3s_wrapped,dc3s_wrapped,219320491.090745,1520594358.376230,-0.012755,0.999569,0.000000,967.517164,0.989583,0.958333,967.517164,948.870247,4422.400000,,,0.968750,948.870247,0.968750,948.870247,0.968750,948.870247,53.981550,288.692719,0.968750,0.968750,967.517164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068806,10000.000000,0.000000,0.041667,0.041667,0.000000,1.000000,0.000000
